rank,name,points,plus,networth
1.,Sebb,1021,36,88.750.000
2.,Manuel,921,34,86.890.000
3.,Seeeb,914,52,76.070.000
4.,Spruhs,843,26,62.150.000
5.,Fritzi,834,13,59.040.000
6.,Jannel,807,20,73.470.000
7.,Dennis,802,38,68.000.000
8.,Nico,780,16,61.690.000
9.,Marco,779,32,56.870.000
10.,taxi,691,27,55.880.000
11.,Sören,668,43,56.920.000
12.,Markus,626,29,44.110.000
13.,chris,606,32,55.920.000
14.,Nils,549,17,42.320.000
15.,Wolfi,493,28,32.900.000
16.,Julien,390,14,23.920.000
