rank,name,points,plus,networth
1.,Sebb,1057,36,88.160.000
2.,Manuel,957,36,85.970.000
3.,Seeeb,954,40,73.730.000
4.,Spruhs,862,19,59.920.000
5.,Fritzi,851,17,58.250.000
6.,Dennis,844,42,66.200.000
7.,Jannel,831,24,72.530.000
8.,Nico,813,33,62.650.000
9.,Marco,796,17,57.070.000
10.,taxi,712,21,53.910.000
11.,Sören,689,21,55.560.000
12.,Markus,626,0,44.010.000
13.,chris,622,16,56.030.000
14.,Nils,558,9,40.790.000
15.,Wolfi,509,16,31.860.000
16.,Julien,398,8,23.210.000
